NUM_ORIGIN,NUM_SUB,AREA_ORIGIN,AREA_SUB,AREA_SUB_ORIGINAL,COMPRIMENTO_ORIGIN,COMPRIMENTO_SUB,LARGURA_ORIGIN,LARGURA_SUB,ALTURA_ORIGIN,ALTURA_SUB,CIRCULARIDADE_SUB,QTD_REGIOES_ESCURO,QTD_REGIOES_CINZA,QTD_REGIOES_CLARO,QTD_REGIOES_IGUAIS,QTD_REGIOES_INDEFINIDO,MEDIA_REGIAO_P,MEDIA_REGIAO_N,MEDIA_REGIAO_S,MEDIA_REGIAO_L,MEDIA_REGIAO_O,MEDIA_REGIAO_NO,MEDIA_REGIAO_NL,MEDIA_REGIAO_SO,MEDIA_REGIAO_SL,QTD_REGIOES
0,1,131072,35,99.97329711914062,1024,5,512,5,256,7,0.5472010707546261,0,2,7,0,0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.5,1.0,7
10,2,131072,44,99.9664306640625,1024,11,512,11,256,4,0.44703687481695586,0,3,6,0,0,0.7272727272727273,0.6363636363636364,0.8181818181818182,0.7,0.8,1.0,0.9,0.8,0.8,6
10,3,131072,200,99.847412109375,1024,20,512,20,256,10,0.6372321539075325,0,1,8,0,0,905,0.57,0.95,0.81,0.99,0.94,0.56,1.0,0.7,8
10,4,131072,85,99.93515014648438,1024,17,512,17,256,5,0.5517259825519265,0,2,7,0,0,0.6352941176470588,0.7941176470588235,0.7058823529411765,625,0.9,0.9375,875,0.75,1.0,7
10,5,131072,200,99.847412109375,1024,20,512,20,256,10,0.6981317007977318,0,9,0,0,0,895,0.93,0.7,0.83,0.8,0.84,0.92,0.5,0.5,9
10,6,131072,148,99.8870849609375,1024,37,512,37,256,4,0.22311695298310252,0,0,9,0,0,0.9324324324324325,0.6621621621621622,0.972972972972973,0.8888888888888888,0.9583333333333334,0.9166666666666666,0.75,1.0,0.8333333333333334,9
10,7,131072,253,99.80697631835938,1024,23,512,23,256,11,0.6875630980607419,0,2,7,0,0,0.6640316205533597,0.6695652173913044,0.5652173913043478,0.9090909090909091,0.6528925619834711,0.509090909090909,1.0,0.6,0.8,7
10,8,131072,680,99.481201171875,1024,34,512,34,256,20,0.545720471704387,0,8,1,0,0,0.8014705882352942,0.95,0.7689075630252101,0.7470588235294118,0.861764705882353,0.9294117647058824,0.8235294117647058,0.7058823529411765,0.6386554621848739,8
10,9,131072,42,99.96795654296875,1024,21,512,21,256,2,0.1396979005452464,0,9,0,0,0,1.0,0.7619047619047619,1.0,0.9,0.95,1.0,0.9,0.6,0.9,9
10,10,131072,24,99.981689453125,1024,6,512,6,256,4,0.4787880157741379,0,9,0,0,0,875,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.8333333333333334,1.0,9
10,11,131072,420,99.6795654296875,1024,21,512,21,256,20,0.7057556841197719,0,4,5,0,0,0.5595238095238095,0.7142857142857143,0.7619047619047619,0.52,655,0.61,0.71,0.95,0.8875,5
10,12,131072,693,99.47128295898438,1024,33,512,33,256,21,0.7390480504984628,0,5,4,0,0,0.6767676767676768,0.5060606060606061,0.6606060606060606,0.5357142857142857,0.8571428571428571,0.8375,0.60625,0.76875,625,5
10,12,131072,170,99.87030029296875,1024,34,512,34,256,5,0.1732511215019546,0,1,8,0,0,0.9764705882352941,1.0,1.0,0.8470588235294118,0.7,1.0,1.0,0.6,0.5588235294117647,8
16,13,131072,903,99.31106567382812,1024,43,512,43,256,21,0.629750320050408,0,7,2,0,0,0.6068660022148394,0.513953488372093,0.9906976744186047,0.6190476190476191,1.0,0.9809523809523809,0.5,1.0,0.59,7
16,14,131072,228,99.8260498046875,1024,114,512,114,256,2,0.053231504534666525,0,9,0,0,0,1.0,1.0,1.0,1.0,0.8157894736842105,0.7719298245614035,1.0,0.8596491228070176,1.0,9
16,15,131072,228,99.8260498046875,1024,19,512,19,256,12,0.7453518470535617,0,3,3,3,0,0.5745614035087719,0,0.8596491228070176,0.8148148148148148,0.8055555555555556,0,0,1.0,0.5740740740740741,3
16,16,131072,176,99.86572265625,1024,16,512,16,256,11,0.758464070002474,0,4,5,0,0,0.5625,0.9375,0.8125,0.8977272727272727,625,625,0.75,1.0,625,5
16,17,131072,2300,98.2452392578125,1024,50,512,50,256,46,0.2263160086367732,2,3,1,3,0,0.7469565217391304,0,0.5234782608695652,1.0,0.6947826086956522,0,0,0.6417391304347826,0.8573913043478261,3
16,18,131072,608,99.5361328125,1024,32,512,32,256,19,0.3261168871518914,0,0,4,5,0,0.7598684210526315,0,1.0,1.0,0,0,0,0,1.0,4
16,1,131072,3827,97.08023071289062,1024,43,512,43,256,89,0.4860970488862431,4,5,0,0,0,0.5604912464071073,0.7288583509513742,0.9867864693446089,1.0,0.9609416800428037,0.8398268398268398,0.6590909090909091,1.0,0.6278409090909091,5
17,2,131072,1209,99.07760620117188,1024,39,512,39,256,31,0.6578160337391512,3,6,0,0,0,0.5384615384615384,0.8581196581196581,1.0,0.7470288624787776,1.0,0.6947368421052632,0.9122807017543859,1.0,1.0,6
17,3,131072,180,99.8626708984375,1024,20,512,20,256,9,0.3713216806506544,4,5,0,0,0,0.6444444444444445,0.8125,0.9625,1.0,1.0,1.0,1.0,925,1.0,5
17,4,131072,32,99.9755859375,1024,32,512,32,256,1,0.09231493564267527,1,1,0,7,0,0.71875,0,0,1.0,0,0,0,0,0,1
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
18,6,131072,1533,98.83041381835938,1024,73,512,73,256,21,0.341629727178106,3,0,6,0,0,0.5975212002609263,0.8095890410958904,0.5260273972602739,0.37037037037037035,0.9484126984126984,0.9972222222222222,0.9861111111111112,0.5833333333333334,0.6777777777777778,6
18,7,131072,2,99.99847412109375,1024,2,512,2,256,1,0.5390120952601716,0,0,3,6,0,1.0,0,0,1.0,1.0,0,0,0,0,3
18,8,131072,20,99.9847412109375,1024,4,512,4,256,5,0.4297801506013208,0,0,9,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9
18,9,131072,588,99.5513916015625,1024,28,512,28,256,21,0.5959983480424704,0,7,2,0,0,0.7040816326530612,0.8,575,1.0,0.6496598639455783,0.9714285714285714,0.9785714285714285,0.7428571428571429,0.7,7
18,10,131072,580,99.5574951171875,1024,29,512,29,256,20,0.5545352866570314,2,1,6,0,0,0.7362068965517241,0.7344827586206897,1.0,0.5071428571428571,0.9714285714285714,0.6928571428571428,0.5785714285714286,1.0,0.6857142857142857,6
18,11,131072,484,99.6307373046875,1024,22,512,22,256,22,0.6231258464668527,1,2,6,0,0,0.7706611570247934,0.5661157024793388,1.0,0.4628099173553719,0.987603305785124,0.9917355371900827,0.9008264462809917,1.0,0.9917355371900827,6
18,12,131072,66,99.94964599609375,1024,22,512,22,256,3,0.23952915654520776,0,4,5,0,0,0.9545454545454546,1.0,0.8181818181818182,1.0,0.7575757575757576,1.0,1.0,1.0,1.0,5
18,6,131072,187,99.85733032226562,1024,17,512,17,256,11,0.7493339620169532,0,8,1,0,0,0.7005347593582888,0.9882352941176471,0.5882352941176471,0.8863636363636364,0.7840909090909091,0.85,0.9,0.65,0.6,8
23,7,131072,1992,98.480224609375,1024,83,512,83,256,24,0.2805664283381514,0,9,0,0,0,0.9879518072289156,0.9367469879518072,0.9849397590361446,0.9735772357723578,0.9939024390243902,0.9308943089430894,0.975609756097561,1.0,0.9227642276422764,9
23,8,131072,216,99.835205078125,1024,18,512,18,256,12,0.7539822368615503,0,8,1,0,0,0.7037037037037037,0.7314814814814815,0.5185185185185185,0.6851851851851852,0.7777777777777778,0.8888888888888888,0.6851851851851852,0.5925925925925926,0.7592592592592593,8
23,9,131072,187,99.85733032226562,1024,17,512,17,256,11,0.7493339620169532,0,8,1,0,0,0.6951871657754011,0.8235294117647058,0.5294117647058824,0.7386363636363636,0.7613636363636364,0.8,0.7,525,775,8
23,10,131072,168,99.871826171875,1024,21,512,21,256,8,0.5046203047595526,0,7,2,0,0,0.5,0.6547619047619048,0.8809523809523809,675,675,725,0.5,0.8,0.85,7
23,11,131072,258,99.80316162109375,1024,86,512,86,256,3,0.102326840629487,0,9,0,0,0,0.7248062015503876,0.7790697674418605,0.9534883720930233,0.6666666666666666,0.9922480620155039,1.0,0.6976744186046512,1.0,0.6976744186046512,9
23,12,131072,234,99.82147216796875,1024,18,512,18,256,13,0.764966369344445,0,5,4,0,0,0.7136752136752137,0.8611111111111112,0.6851851851851852,0.8461538461538461,0.6410256410256411,0.7592592592592593,0.7037037037037037,0.5740740740740741,0.5370370370370371,5
23,13,131072,98,99.92523193359375,1024,49,512,49,256,2,0.1183683506542867,0,9,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9583333333333334,1.0,9
23,14,131072,129,99.90158081054688,1024,43,512,43,256,3,0.19152431583794108,0,9,0,0,0,1.0,1.0,1.0,1.0,1.0,0.9523809523809523,1.0,1.0,1.0,9
23,2,131072,588,99.5513916015625,1024,28,512,28,256,21,0.7281822847432831,0,9,0,0,0,0.8707482993197279,0.9928571428571429,1.0,0.9693877551020408,1.0,1.0,1.0,1.0,1.0,9
3,3,131072,172,99.8687744140625,1024,43,512,43,256,4,0.16518613184221673,0,9,0,0,0,1.0,0.9767441860465116,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9
3,4,131072,286,99.78179931640625,1024,22,512,22,256,13,0.7181977453867552,0,9,0,0,0,0.9965034965034965,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9
3,5,131072,342,99.73907470703125,1024,19,512,19,256,18,0.7848244613058505,0,9,0,0,0,0.9883040935672515,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9
