NUM_ORIGIN,NUM_SUB,NUM_SUB_SUB,AREA_ORIGIN,AREA_SUB,AREA_SUB_SUB,COMPRIMENTO_ORIGIN,COMPRIMENTO_SUB,COMPRIMENTO_SUB_SUB,LARGURA_ORIGIN,LARGURA_SUB,LARGURA_SUB_SUB,ALTURA_ORIGIN,ALTURA_SUB,ALTURA_SUB_SUB,CIRCULARIDADE_SUB,CIRCULARIDADE_SUB_SUB,AREA_SUB_ORIGINAL,AREA_SUBSUB_ORIGINAL,AREA_SUBSUB_SUB_IMAGEM,REGIAO_P,REGIAO_N,REGIAO_S,REGIAO_L,REGIAO_O,REGIAO_NO,REGIAO_NL,REGIAO_SO,REGIAO_SL,MEDIA_REGIAO_P,MEDIA_REGIAO_N,MEDIA_REGIAO_S,MEDIA_REGIAO_L,MEDIA_REGIAO_O,MEDIA_REGIAO_NO,MEDIA_REGIAO_NL,MEDIA_REGIAO_SO,MEDIA_REGIAO_SL
1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,null,null,null,null,null,null,null,null,0,0,0,0,0,0,0,0,0
10,7,0,131072,253,25,2048,23,13.656854152679443,512,23,5,256,11,5,0,0.0,0.00193023681640625,0.00019073486328125,0.09881422924901186,Cinza,Cinza,Cinza,Cinza,Cinza,Cinza,Cinza,Cinza,Cinza,3.0,2.25,1.0,1.0,2.25,1.0,0.5,0.5,0.0
10,8,0,131072,680,28,2048,34,14.242640614509583,512,34,7,256,20,4,0,0.0309741100225652,0.00518798828125,0.000213623046875,0.041176470588235294,Cinza,Escuro,Cinza,Cinza,Cinza,Cinza,Escuro,Cinza,Cinza,2.5,1.2,2.1666666666666665,1.0,2.6666666666666665,1.6666666666666667,0.0,2.5,0.3333333333333333
10,12,0,131072,693,0,2048,33,4.0,512,33,2,256,21,0,0,0.0,0.00528717041015625,0.0,0.0,Indefinido,Indefinido,Indefinido,Indefinido,Indefinido,Indefinido,Indefinido,Indefinido,Indefinido,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
10,20,0,131072,888,12,2048,37,20.242640614509583,512,37,3,256,24,4,0,0.015333649747048032,0.00677490234375,9.1552734375e-05,0.013513513513513514,Cinza,Cinza,Cinza,Cinza,Cinza,Cinza,Cinza,Cinza,Cinza,1.5714285714285714,1.6666666666666667,0.5,0.75,1.5,0.5,0.5,0.0,0.0
10,20,1,131072,888,72,2048,37,22.242640614509583,512,37,8,256,24,9,0,0.01270010111684888,0.00677490234375,0.00054931640625,0.08108108108108109,Cinza,Cinza,Cinza,Cinza,Indefinido,Indefinido,Cinza,Indefinido,Cinza,4.176470588235294,7.75,1.4,7.0,-1.0,-1.0,7.5,-1.0,1.0
10,20,2,131072,888,8,2048,37,10.828427076339722,512,37,4,256,24,2,0,0.75020015882688,0.00677490234375,6.103515625e-05,0.009009009009009009,Cinza,Cinza,Cinza,Cinza,Cinza,Cinza,Cinza,Cinza,Cinza,0.875,1.0,0.75,0.75,1.5,0.5,0.5,0.5,0.5
10,21,0,131072,504,0,2048,24,2.0,512,24,1,256,21,0,0,0.0,0.00384521484375,0.0,0.0,Indefinido,Indefinido,Indefinido,Indefinido,Indefinido,Indefinido,Indefinido,Indefinido,Indefinido,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
10,23,0,131072,464,110,2048,29,27.656854152679443,512,29,10,256,16,11,0,0.0,0.0035400390625,0.0008392333984375,0.23706896551724138,Cinza,Cinza,Cinza,Cinza,Cinza,Cinza,Cinza,Cinza,Cinza,6.055555555555555,9.75,1.8,2.0,7.714285714285714,9.5,1.5,1.3333333333333333,0.0
10,23,1,131072,464,70,2048,29,24.485281229019165,512,29,7,256,16,10,0,0.0,0.0035400390625,0.0005340576171875,0.15086206896551724,Cinza,Cinza,Cinza,Cinza,Cinza,Cinza,Cinza,Cinza,Cinza,4.928571428571429,11.333333333333334,1.5,4.833333333333333,2.9,7.0,7.0,0.5,0.6666666666666666
10,25,0,131072,216,0,2048,18,2.0,512,18,1,256,12,0,0,0.0,0.00164794921875,0.0,0.0,Indefinido,Indefinido,Indefinido,Indefinido,Indefinido,Indefinido,Indefinido,Indefinido,Indefinido,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
10,26,0,131072,176,0,2048,16,8.0,512,16,4,256,11,0,0,0.0,0.0013427734375,0.0,0.0,Indefinido,Indefinido,Indefinido,Indefinido,Indefinido,Indefinido,Indefinido,Indefinido,Indefinido,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
10,27,0,131072,176,0,2048,16,8.0,512,16,4,256,11,0,0,0.0,0.0013427734375,0.0,0.0,Indefinido,Indefinido,Indefinido,Indefinido,Indefinido,Indefinido,Indefinido,Indefinido,Indefinido,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
10,29,0,131072,1150,252,2048,46,50.72792184352875,512,46,14,256,25,18,0,0.002441663023109713,0.0087738037109375,0.001922607421875,0.21913043478260869,Claro,Cinza,Cinza,Cinza,Claro,Cinza,Cinza,Cinza,Cinza,11.5,7.545454545454546,1.8571428571428572,17.857142857142858,21.5,10.25,10.25,3.0,3.0
10,34,0,131072,176,30,2048,16,14.828427076339722,512,16,6,256,11,5,0,0.0,0.0013427734375,0.0002288818359375,0.17045454545454544,Cinza,Indefinido,Cinza,Cinza,Cinza,Indefinido,Indefinido,Cinza,Cinza,5.8,-1.0,1.2222222222222223,2.0,3.5,-1.0,-1.0,0.8333333333333334,0.3333333333333333
10,35,0,131072,275,6,2048,25,9.41421353816986,512,25,2,256,11,3,0,0.0708943750400706,0.00209808349609375,4.57763671875e-05,0.02181818181818182,Cinza,Cinza,Cinza,Cinza,Cinza,Cinza,Escuro,Cinza,Cinza,2.5,0.5,0.5,1.0,1.0,0.0,0.0,0.0,0.0
10,35,1,131072,275,12,2048,25,13.41421353816986,512,25,4,256,11,3,0,0.03491800616729726,0.00209808349609375,9.1552734375e-05,0.04363636363636364,Cinza,Cinza,Cinza,Cinza,Indefinido,Indefinido,Cinza,Indefinido,Cinza,5.5,1.5,1.5,1.6666666666666667,-1.0,-1.0,0.5,-1.0,0.3333333333333333
10,36,0,131072,480,0,2048,30,8.0,512,30,4,256,16,0,0,0.0,0.003662109375,0.0,0.0,Indefinido,Indefinido,Indefinido,Indefinido,Indefinido,Indefinido,Indefinido,Indefinido,Indefinido,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
10,36,1,131072,480,0,2048,30,6.0,512,30,3,256,16,0,0,0.0,0.003662109375,0.0,0.0,Indefinido,Indefinido,Indefinido,Indefinido,Indefinido,Indefinido,Indefinido,Indefinido,Indefinido,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
10,36,2,131072,480,100,2048,30,61.21320307254791,512,30,20,256,16,5,0,0.001676832404115589,0.003662109375,0.000762939453125,0.20833333333333334,Cinza,Cinza,Cinza,Cinza,Cinza,Cinza,Cinza,Cinza,Cinza,3.5,4.875,3.0,0.6666666666666666,7.333333333333333,4.25,0.5,2.8333333333333335,0.3333333333333333
10,39,0,131072,494,170,2048,26,40.485281229019165,512,26,10,256,19,17,0,0.0,0.0037689208984375,0.0012969970703125,0.3441295546558704,Cinza,Indefinido,Cinza,Claro,Cinza,Indefinido,Indefinido,Cinza,Cinza,10.666666666666666,-1.0,2.7142857142857144,2.0,5.076923076923077,-1.0,-1.0,1.5,0.3333333333333333
10,40,0,131072,494,360,2048,19,59.55634891986847,512,19,18,256,26,20,0,0.005314286839387579,0.0037689208984375,0.00274658203125,0.728744939271255,Claro,Cinza,Claro,Claro,Indefinido,Indefinido,Claro,Indefinido,Claro,16.5,5.75,14.2,2.0,-1.0,-1.0,0.5,-1.0,1.5
10,41,0,131072,544,15,2048,32,10.242640614509583,512,32,3,256,17,5,0,0.05989023245496899,0.004150390625,0.00011444091796875,0.027573529411764705,Cinza,Claro,Cinza,Claro,Cinza,Cinza,Claro,Cinza,Claro,2.75,0.75,0.5,1.0,1.3333333333333333,0.0,0.3333333333333333,0.0,0.0
10,45,0,131072,594,72,2048,22,27.313708305358887,512,22,6,256,27,12,0,0.016844127877960028,0.0045318603515625,0.00054931640625,0.12121212121212122,Claro,Claro,Claro,Claro,Claro,Claro,Claro,Claro,Claro,7.1,7.0,1.6666666666666667,5.833333333333333,5.833333333333333,3.4,5.666666666666667,1.0,0.5
10,46,0,131072,9520,4,2048,85,8.0,512,85,2,256,112,2,0,0.7853981633974483,0.0726318359375,3.0517578125e-05,0.0004201680672268908,Cinza,Cinza,Cinza,Cinza,Cinza,Cinza,Cinza,Cinza,Cinza,0.6,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0
10,46,1,131072,9520,4,2048,85,5.656854152679443,512,85,2,256,112,2,0,0.7853981902804831,0.0726318359375,3.0517578125e-05,0.0004201680672268908,Cinza,Cinza,Cinza,Cinza,Cinza,Cinza,Cinza,Cinza,Cinza,0.6,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0
10,46,2,131072,9520,0,2048,85,6.0,512,85,3,256,112,0,0,0.0,0.0726318359375,0.0,0.0,Indefinido,Indefinido,Indefinido,Indefinido,Indefinido,Indefinido,Indefinido,Indefinido,Indefinido,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
10,46,3,131072,9520,3268,2048,85,273.82337474823,512,85,38,256,112,86,0,0.0013407839845540265,0.0726318359375,0.024932861328125,0.34327731092436975,Claro,Cinza,Claro,Escuro,Claro,Claro,Escuro,Claro,Claro,78.125,15.333333333333334,25.451612903225808,20.4,99.0625,6.875,5.0,25.0,8.7
